link,label
https://doi.org/10.1038%2Fnature14133,0
https://doi.org/10.1038%2Fnmat4014,0
https://doi.org/10.1039%2FC5EE03874J,0
https://doi.org/10.1038%2Fs41563-018-0071-z,0
https://doi.org/10.1002%2Faenm.201700491,0
https://doi.org/10.1038%2Fnphoton.2013.341,0
https://doi.org/10.1126%2Fscience.aan2301,0
https://doi.org/10.1126%2Fscience.aaf8060,0
https://doi.org/10.1038%2Fs41467-018-04028-8,0
https://doi.org/10.1038%2Fncomms16045,0
https://doi.org/10.1038%2Fnatrevmats.2018.17,0
https://doi.org/10.1039%2Fc3ee43822h,0
https://doi.org/10.1038%2Fs41560-017-0054-3,0
https://doi.org/10.1039%2FC7TA01441D,0
https://doi.org/10.1021%2Facs.chemrev.5b00715,0
https://doi.org/10.1021%2Fjacs.6b10049,0
https://doi.org/10.1021%2Facs.chemmater.7b00126,0
https://doi.org/10.1038%2Fnature25989,0
https://doi.org/10.1021%2Facsenergylett.7b01151,0
https://doi.org/10.1021%2Facsenergylett.8b00544,0
https://doi.org/10.1021%2Facsenergylett.6b00457,0
https://doi.org/10.1126%2Fsciadv.aao5616,0
https://doi.org/10.1021%2Fjacs.7b04981,0
https://doi.org/10.1021%2Facs.jpclett.6b02684,0
https://doi.org/10.1002%2Fadma.201607039,0
https://doi.org/10.1038%2Fnphoton.2012.285,0
https://doi.org/10.1063%2F1.3297883,0
https://doi.org/10.1038%2Fs41467-017-00516-5,0
https://doi.org/10.1063%2F1.2903699,0
https://doi.org/10.1063%2F1.2973398,0
https://doi.org/10.1038%2Fnenergy.2016.93,0
https://doi.org/10.1103%2FPhysRevB.83.064101,0
https://doi.org/10.4028%2Fwww.scientific.net%2FAMR.996.162,0
https://doi.org/10.1107%2FS0021889813019535,0
https://doi.org/10.1016%2Fj.surfcoat.2011.07.036,0
https://doi.org/10.1021%2Facsenergylett.6b00002,0
https://doi.org/10.1021%2Fjacs.5b04930,0
https://doi.org/10.1002%2Fadma.201701656,0
https://doi.org/10.1038%2Fncomms11755,0
https://doi.org/10.1039%2FC7TA00434F,0
https://doi.org/10.1063%2F1.4864778,0
https://doi.org/10.1002%2Faenm.201701136,0
https://doi.org/10.1002%2Faenm.201700012,0
https://doi.org/10.1002%2Fadma.201702140,0
https://doi.org/10.1021%2Facsenergylett.7b00236,0
https://doi.org/10.1002%2Fadma.201701077,0
https://doi.org/10.1021%2Facs.nanolett.6b05177,0
https://doi.org/10.1126%2Fscience.1254050,0
https://doi.org/10.1021%2Facs.chemmater.6b03221,0
https://doi.org/10.1039%2FC4TA05033A,0
https://doi.org/10.1557%2Fmrc.2015.26,0
https://doi.org/10.1021%2Fjz4023865,0
https://doi.org/10.1002%2Faenm.201601079,0
https://doi.org/10.1016%2Fj.solmat.2013.05.052,0
https://doi.org/10.1021%2Fnl501838y,0
https://doi.org/10.1002%2Fadma.201301327,0
https://doi.org/10.1021%2Facs.jpclett.7b01508,0
https://doi.org/10.1073%2Fpnas.1609030113,0
https://doi.org/10.1002%2Fadfm.201604208,0
https://doi.org/10.1016%2F0927-0256%2896%2900008-0,0
https://doi.org/10.1103%2FPhysRevB.54.11169,0
https://doi.org/10.1103%2FPhysRevB.50.17953,0
https://doi.org/10.1103%2FPhysRevLett.77.3865,0
https://doi.org/10.1103%2FPhysRevB.83.195131,0
